"pol_id","losspaid","class4","tgroup"
2366,1020,1261,3
2380,3409,1101,4
2380,562,1101,4
2381,748,1101,4
2391,2265,1101,5
2391,1443,1101,5
2398,1685,1101,4
2400,1559,1101,1
2414,2937,1162,6
2426,88,1101,6
2428,338,1152,5
2428,1266,1152,5
2428,25000,1152,5
2454,460,1101,5
2466,370,1101,6
2468,1044,1101,6
2469,351,1101,2
2474,5,1101,6
2476,3496,1101,6
2493,423,1101,1
2496,1158,1101,5
2496,583,1101,5
2510,1730,1101,2
2510,5437,1101,2
2524,529,1101,4
2533,14694,1101,6
2533,2305,1101,6
2533,28,1101,6
2566,5,1101,2
2568,1084,1101,4
2568,5,1101,4
2568,2041,1101,4
2578,1344,1101,5
2581,564,1101,1
2583,1764,1101,6
2591,1467,1101,3
2591,421,1101,3
2602,433,1263,5
2608,1079,1152,3
2616,8,1101,4
2625,845,1101,4
2627,1909,1101,3
2646,2787,1152,1
2662,1307,1101,2
2672,2326,1101,6
2675,427,1101,5
2677,1831,1152,2
2683,2570,1223,4
2687,775,1101,6
2687,5079,1101,6
2691,1806,1305,4
2708,582,1101,1
2711,622,1101,5
2716,5555,1101,2
2716,2099,1101,2
2716,2724,1428,2
2725,2649,1101,5
2735,592,1152,5
2745,3201,1101,4
2746,2452,1428,1
2765,541,1101,4
2778,1665,1152,2
2778,1099,1152,2
2785,1623,1101,3
2798,3899,1101,1
2800,1047,1221,5
2801,754,1101,1
2817,5278,1101,4
2825,1303,1423,5
2825,792,1423,5
2825,545,1423,5
2825,7209,1423,5
2829,683,1101,5
2831,462,1101,2
2832,152,1428,2
2832,1876,1428,2
2832,10,1428,2
2836,224,1101,1
2859,3170,1101,2
2867,955,1101,2
2873,243,1101,2
2885,2831,1162,3
2890,551,1101,4
2890,6915,1101,4
2890,6582,1101,4
2897,662,1101,6
2935,816,1107,6
2936,1608,1101,6
2936,1104,1101,6
2951,1005,1268,1
2994,732,1162,1
2998,25000,1104,6
3010,1122,1101,4
3014,6461,1101,2
3017,2585,1101,2
3031,1087,1101,2
3038,291,1101,3
3042,3245,1103,6
3042,3764,1103,6
3044,1391,1421,2
